"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","FAQ на главной","8","0","Проверка текста отображения ответа на вопрос","0"
"0","","0","","4","0","","0"
